
2025/03/10 (01:58:55) | ===> btop++ v.1.4.0
2025/03/10 (01:58:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (02:01:30) | ===> btop++ v.1.4.0
2025/03/10 (02:01:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (02:42:46) | ===> btop++ v.1.4.0
2025/03/10 (02:42:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (10:23:06) | ===> btop++ v.1.4.0
2025/03/10 (10:23:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (11:12:31) | ===> btop++ v.1.4.0
2025/03/10 (11:12:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (16:40:09) | ===> btop++ v.1.4.0
2025/03/10 (16:40:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (00:39:30) | ===> btop++ v.1.4.0
2025/03/11 (00:39:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (01:13:54) | ===> btop++ v.1.4.0
2025/03/11 (01:13:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (21:44:38) | ===> btop++ v.1.4.0
2025/03/13 (21:44:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (15:59:59) | ===> btop++ v.1.4.0
2025/03/25 (15:59:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (14:24:57) | ===> btop++ v.1.4.0
2025/03/26 (14:24:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:34:14) | ===> btop++ v.1.4.0
2025/04/01 (14:34:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/01 (14:36:00) | INFO: Logger set to INFO

2025/04/06 (15:18:44) | ===> btop++ v.1.4.0
2025/04/06 (15:18:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (15:09:09) | ===> btop++ v.1.4.0
2025/04/15 (15:09:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (08:57:09) | ===> btop++ v.1.4.0
2025/04/17 (08:57:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/29 (11:22:34) | ===> btop++ v.1.4.0
2025/04/29 (11:22:34) | WARNING: Intel GPU: Failed to initialize PMU
